Lottery Number,Project Name,PHN,Street Name,Boro,NC/Pres,Oversight Agency,Unit Size,Rent,Number of Units,Eligible Household Size,income_min1,income_max1,hh_size2,income_min2,income_max2,hh_size3,income_min3,income_max3,hh_size4,income_min4,income_max4,hh_size5,income_min5,income_max5,hh_size6,income_min6,income_max6,Total Application Count,OPEN APPLICATION PERIOD START,open_year,Project Close,Open Market units
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,0,1698,66,1,59898,97020,,,,,,,,,,,,,,,,92924,10/15/14,2014,3/18/16,
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,0,1997,43,1,70149,135240,,,,,,,,,,,,,,,,92924,10/15/14,2014,3/18/16,
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,1,533,10,1,19989,23520,2,19989,26880,,,,,,,,,,,,,92924,10/15/14,2014,3/18/16,
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,1,689,48,1,25338,29400,2,25338,33600,,,,,,,,,,,,,92924,10/15/14,2014,3/18/16,
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,1,1965,8,1,69086,97020,2,69086,110880,,,,,,,,,,,,,92924,10/15/14,2014,3/18/16,
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,1,2167,135,1,76012,97020,2,76012,110880,,,,,,,,,,,,,92924,10/15/14,2014,3/18/16,
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,1,2509,86,1,87738,135240,2,87738,154560,,,,,,,,,,,,,92924,10/15/14,2014,3/18/16,
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,2,648,10,2,24000,26880,3,24000,30240,4,24000,33560,,,,,,,,,,92924,10/15/14,2014,3/18/16,
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,2,835,53,2,30412,33600,3,30412,37800,4,30412,41950,,,,,,,,,,92924,10/15/14,2014,3/18/16,
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,2,2366,63,2,82903,110880,3,82903,124740,4,82903,138435,,,,,,,,,,92924,10/15/14,2014,3/18/16,
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,2,2684,36,2,93806,110880,3,93806,124740,4,93806,138435,,,,,,,,,,92924,10/15/14,2014,3/18/16,
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,2,3300,153,2,114926,154560,3,114926,173880,4,114926,192970,,,,,,,,,,92924,10/15/14,2014,3/18/16,2
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,3,743,3,3,27600,30240,4,27600,33560,5,27600,36280,6,27600,38960,,,,,,,92924,10/15/14,2014,3/18/16,
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,3,959,9,3,35006,37800,4,35006,41950,5,35006,45350,6,35006,48700,,,,,,,92924,10/15/14,2014,3/18/16,
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,3,2729,12,3,95692,124740,4,95692,138435,5,95692,149655,6,95692,160710,,,,,,,92924,10/15/14,2014,3/18/16,
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,3,3160,7,3,110469,124740,4,110469,138435,5,110469,149655,6,110469,160710,,,,,,,92924,10/15/14,2014,3/18/16,
111,Hunters Point South Living,Jan-55,BORDEN AVENUE,4,New Construction,HDC,3,4346,26,3,151132,173880,4,151132,192970,5,151132,208610,6,151132,224020,,,,,,,92924,10/15/14,2014,3/18/16,3
114,2999 Webster Ave,2999,WEBSTER AVENUE,2,New Construction,HPD,1,1275,3,1,43715,47000,2,43715,53700,,,,,,,,,,,,,25025,10/15/14,2014,8/31/15,
114,2999 Webster Ave,2999,WEBSTER AVENUE,2,New Construction,HPD,2,1435,4,2,49200,53700,3,49200,60400,4,49200,67100,,,,,,,,,,25025,10/15/14,2014,8/31/15,
115,59 Frost Street,59,FROST STREET,3,New Construction,HPD,0,640,1,1,23623,29400,,,,,,,,,,,,,,,,80185,10/22/14,2014,7/1/15,
115,59 Frost Street,59,FROST STREET,3,New Construction,HPD,0,785,1,1,28595,35280,,,,,,,,,,,,,,,,80185,10/22/14,2014,7/1/15,
115,59 Frost Street,59,FROST STREET,3,New Construction,HPD,0,1075,1,1,38538,47000,,,,,,,,,,,,,,,,80185,10/22/14,2014,7/1/15,
115,59 Frost Street,59,FROST STREET,3,New Construction,HPD,1,689,4,1,25338,29400,2,25338,33600,,,,,,,,,,,,,80185,10/22/14,2014,7/1/15,
115,59 Frost Street,59,FROST STREET,3,New Construction,HPD,1,844,4,1,30652,35280,2,30652,40320,,,,,,,,,,,,,80185,10/22/14,2014,7/1/15,
115,59 Frost Street,59,FROST STREET,3,New Construction,HPD,1,1155,4,1,41315,47000,2,41315,53700,,,,,,,,,,,,,80185,10/22/14,2014,7/1/15,
115,59 Frost Street,59,FROST STREET,3,New Construction,HPD,2,835,10,2,30412,33600,3,30412,37800,4,30412,41950,,,,,,,,,,80185,10/22/14,2014,7/1/15,
115,59 Frost Street,59,FROST STREET,3,New Construction,HPD,2,1022,9,2,36823,40320,3,36823,45360,4,36823,50340,,,,,,,,,,80185,10/22/14,2014,7/1/15,
115,59 Frost Street,59,FROST STREET,3,New Construction,HPD,2,1395,4,2,49612,53700,3,49612,60400,4,49612,67100,,,,,,,,,,80185,10/22/14,2014,7/1/15,
116,2985 and 2987 Webster Ave,2985,WEBSTER AVENUE,2,New Construction,HPD,1,1274,8,1,43715,47000,2,43715,53700,,,,,,,,,,,,,22248,10/24/14,2014,8/31/15,
116,2985 and 2987 Webster Ave,2985,WEBSTER AVENUE,2,New Construction,HPD,2,1434,10,2,49166,53700,3,49166,60400,4,49166,67100,,,,,,,,,,22248,10/24/14,2014,8/31/15,
117,338 and 340 Eldert Street,338,ELDERT STREET,3,New Construction,HPD,1,1000,4,1,34286,40320,2,34286,40320,,,,,,,,,,,,,27018,10/24/14,2014,2/1/16,
118,Park West Apartments,2026,WESTCHESTER AVENUE,2,New Construction,HDC,0,801,20,1,29143,35280,,,,,,,,,,,,,,,,51125,11/21/14,2014,6/20/16,
118,Park West Apartments,2026,WESTCHESTER AVENUE,2,New Construction,HDC,1,861,32,1,31235,35280,2,31235,40320,,,,,,,,,,,,,51125,11/21/14,2014,6/20/16,
118,Park West Apartments,2026,WESTCHESTER AVENUE,2,New Construction,HDC,2,1042,52,2,37509,40320,3,37509,45360,4,37509,50340,,,,,,,,,,51125,11/21/14,2014,6/20/16,
118,Park West Apartments,2026,WESTCHESTER AVENUE,2,New Construction,HDC,3,1196,2,3,43132,45360,4,43132,50340,5,43132,54420,6,43132,58440,,,,,,,51125,11/21/14,2014,6/20/16,
119,53 West 126th Street,53,WEST 126 STREET,1,New Construction,HPD,1,925,2,1,31715,41280,2,31715,41280,,,,,,,,,,,,,30463,11/19/14,2014,1/1/18,
120,Mother Arnetta Crawford Apartments,1500,HOE AVENUE,2,New Construction,HDC,1,861,26,1,31235,35280,2,31235,40320,,,,,,,,,,,,,45988,11/21/14,2014,11/17/15,
120,Mother Arnetta Crawford Apartments,1500,HOE AVENUE,2,New Construction,HDC,2,1042,33,2,37509,40320,3,37509,45360,4,37509,50340,,,,,,,,,,45988,11/21/14,2014,11/17/15,
